metro	var	percentile	cat	value
"Houston, TX"	Quality of Life	0.01	Livability	-0.072
"Houston, TX"	Household Purchasing Power	0.686	Livability	59713.71769
"Houston, TX"	Housing Unit Growth	0.909	Policy	0.365259462
"Houston, TX"	Housing Cost Differential	0.637	Policy	-0.111
"Indianapolis, IN"	Price Income Ratio	0.809	Affordability	2.707201347
"Indianapolis, IN"	Cost Burdened Renters	0.415	Affordability	0.514915058
"Indianapolis, IN"	Vacancy Rate	0.818	Affordability	0.102777409
"Indianapolis, IN"	Job Growth	0.626	Job Availability	0.14007023
"Indianapolis, IN"	Working Age Emp-Pop	0.585	Job Availability	0.777550191
"Indianapolis, IN"	Start-Ups	0.555	Job Availability	0.183262821
"Indianapolis, IN"	Quality of Life	0.191	Livability	-0.039
"Indianapolis, IN"	Household Purchasing Power	0.505	Livability	55841.88034
"Indianapolis, IN"	Housing Unit Growth	0.545	Policy	0.191092486
"Indianapolis, IN"	Housing Cost Differential	0.566	Policy	-0.096
"Jackson, MS"	Price Income Ratio	0.697	Affordability	2.88287521
"Jackson, MS"	Cost Burdened Renters	0.314	Affordability	0.527260672
"Jackson, MS"	Vacancy Rate	0.919	Affordability	0.110454607
"Jackson, MS"	Job Growth	0.484	Job Availability	0.084504263
"Jackson, MS"	Working Age Emp-Pop	0.252	Job Availability	0.750801763
"Jackson, MS"	Start-Ups	0.303	Job Availability	0.161123429
"Jackson, MS"	Quality of Life	0.292	Livability	-0.031
"Jackson, MS"	Household Purchasing Power	0.282	Livability	51725.77093
"Jackson, MS"	Housing Unit Growth	0.383	Policy	0.146276403
"Jackson, MS"	Housing Cost Differential	0.889	Policy	-0.246
"Jacksonville, FL"	Price Income Ratio	0.617	Affordability	3.112467477
"Jacksonville, FL"	Cost Burdened Renters	0.102	Affordability	0.571883295
"Jacksonville, FL"	Vacancy Rate	0.848	Affordability	0.106560215
"Jacksonville, FL"	Job Growth	0.595	Job Availability	0.135429628
"Jacksonville, FL"	Working Age Emp-Pop	0.151	Job Availability	0.738520593
"Jacksonville, FL"	Start-Ups	0.848	Job Availability	0.22019035
"Jacksonville, FL"	Quality of Life	0.535	Livability	-0.009
"Jacksonville, FL"	Household Purchasing Power	0.353	Livability	53191.46722
"Jacksonville, FL"	Housing Unit Growth	0.828	Policy	0.295122757
"Jacksonville, FL"	Housing Cost Differential	0.627	Policy	-0.11
"Kansas City, MO-KS"	Price Income Ratio	0.748	Affordability	2.814331333
"Kansas City, MO-KS"	Cost Burdened Renters	0.879	Affordability	0.468175314
"Kansas City, MO-KS"	Vacancy Rate	0.616	Affordability	0.090117788
"Kansas City, MO-KS"	Job Growth	0.414	Job Availability	0.065449464
"Kansas City, MO-KS"	Working Age Emp-Pop	0.888	Job Availability	0.803653763
"Kansas City, MO-KS"	Start-Ups	0.565	Job Availability	0.184703859
"Kansas City, MO-KS"	Quality of Life	0.222	Livability	-0.037
"Kansas City, MO-KS"	Household Purchasing Power	0.747	Livability	60826.04055
"Kansas City, MO-KS"	Housing Unit Growth	0.464	Policy	0.167748077
"Kansas City, MO-KS"	Housing Cost Differential	0.697	Policy	-0.129
"Knoxville, TN"	Price Income Ratio	0.465	Affordability	3.364266572
"Knoxville, TN"	Cost Burdened Renters	0.708	Affordability	0.491845039
"Knoxville, TN"	Vacancy Rate	0.828	Affordability	0.103085098
"Knoxville, TN"	Job Growth	0.696	Job Availability	0.153694875
"Knoxville, TN"	Working Age Emp-Pop	0.111	Job Availability	0.732113449
"Knoxville, TN"	Start-Ups	0.222	Job Availability	0.15148576
"Knoxville, TN"	Quality of Life	0.515	Livability	-0.011
"Knoxville, TN"	Household Purchasing Power	0.171	Livability	49671.06711
"Knoxville, TN"	Housing Unit Growth	0.414	Policy	0.151592922
"Knoxville, TN"	Housing Cost Differential	0.869	Policy	-0.231
"Lakeland, FL"	Price Income Ratio	0.96	Affordability	2.463768116
"Lakeland, FL"	Cost Burdened Renters	0.152	Affordability	0.55820551
"Lakeland, FL"	Vacancy Rate	0.777	Affordability	0.099625815
"Lakeland, FL"	Job Growth	0.747	Job Availability	0.16731953
"Lakeland, FL"	Working Age Emp-Pop	0.06	Job Availability	0.710917783
"Lakeland, FL"	Start-Ups	0.616	Job Availability	0.18804878
"Lakeland, FL"	Quality of Life	0.383	Livability	-0.023
"Lakeland, FL"	Household Purchasing Power	0.04	Livability	45705.12821
"Lakeland, FL"	Housing Unit Growth	0.717	Policy	0.249019331
"Lakeland, FL"	Housing Cost Differential	0.92	Policy	-0.254
"Las Vegas, NV"	Price Income Ratio	0.324	Affordability	3.684539384
"Las Vegas, NV"	Cost Burdened Renters	0.617	Affordability	0.49789376
"Las Vegas, NV"	Vacancy Rate	0.898	Affordability	0.108737036
"Las Vegas, NV"	Job Growth	0.909	Job Availability	0.299891245
"Las Vegas, NV"	Working Age Emp-Pop	0.222	Job Availability	0.748035212
"Las Vegas, NV"	Start-Ups	1	Job Availability	0.273371105
"Las Vegas, NV"	Quality of Life	0.373	Livability	-0.025
"Las Vegas, NV"	Household Purchasing Power	0.272	Livability	51627.01613
"Las Vegas, NV"	Housing Unit Growth	0.989	Policy	0.541755166
"Las Vegas, NV"	Housing Cost Differential	0.354	Policy	0.029
"Little Rock, AR"	Price Income Ratio	0.728	Affordability	2.847092903
"Little Rock, AR"	Cost Burdened Renters	0.869	Affordability	0.471045596
"Little Rock, AR"	Vacancy Rate	0.989	Affordability	0.126322133
"Little Rock, AR"	Job Growth	0.505	Job Availability	0.091547763
"Little Rock, AR"	Working Age Emp-Pop	0.272	Job Availability	0.75162877
"Little Rock, AR"	Start-Ups	0.484	Job Availability	0.172954284
"Little Rock, AR"	Quality of Life	0.515	Livability	-0.011
"Little Rock, AR"	Household Purchasing Power	0.343	Livability	53109.89011
"Little Rock, AR"	Housing Unit Growth	0.646	Policy	0.21646934
"Little Rock, AR"	Housing Cost Differential	0.839	Policy	-0.197
"Los Angeles, CA"	Price Income Ratio	0	Affordability	8.178272796
"Los Angeles, CA"	Cost Burdened Renters	0.031	Affordability	0.596680673
"Los Angeles, CA"	Vacancy Rate	0.101	Affordability	0.046748906
"Los Angeles, CA"	Job Growth	0.383	Job Availability	0.062967347
"Los Angeles, CA"	Working Age Emp-Pop	0.363	Job Availability	0.760071901
"Los Angeles, CA"	Start-Ups	0.838	Job Availability	0.218203323
"Los Angeles, CA"	Quality of Life	0.939	Livability	0.081
"Los Angeles, CA"	Household Purchasing Power	0.232	Livability	51413.76381
"Los Angeles, CA"	Housing Unit Growth	0.141	Policy	0.074136053
"Los Angeles, CA"	Housing Cost Differential	0.061	Policy	0.45
"Louisville, KY-IN"	Price Income Ratio	0.657	Affordability	2.970627503
"Louisville, KY-IN"	Cost Burdened Renters	0.889	Affordability	0.465530632
"Louisville, KY-IN"	Vacancy Rate	0.626	Affordability	0.090268223
"Louisville, KY-IN"	Job Growth	0.373	Job Availability	0.058170748
"Louisville, KY-IN"	Working Age Emp-Pop	0.656	Job Availability	0.780766363
"Louisville, KY-IN"	Start-Ups	0.292	Job Availability	0.158645276
"Louisville, KY-IN"	Quality of Life	0.383	Livability	-0.023
"Louisville, KY-IN"	Household Purchasing Power	0.484	Livability	55785.32311
"Louisville, KY-IN"	Housing Unit Growth	0.393	Policy	0.148142476
"Louisville, KY-IN"	Housing Cost Differential	0.738	Policy	-0.138
"Madison, WI"	Price Income Ratio	0.344	Affordability	3.630363036
"Madison, WI"	Cost Burdened Renters	0.829	Affordability	0.476442713
"Madison, WI"	Vacancy Rate	0.08	Affordability	0.044971997
"Madison, WI"	Job Growth	0.686	Job Availability	0.152175842
"Madison, WI"	Working Age Emp-Pop	0.979	Job Availability	0.845321898
"Madison, WI"	Start-Ups	0.141	Job Availability	0.147160965
"Madison, WI"	Quality of Life	0.888	Livability	0.053
"Madison, WI"	Household Purchasing Power	0.808	Livability	62336.74514
"Madison, WI"	Housing Unit Growth	0.636	Policy	0.214571378
"Madison, WI"	Housing Cost Differential	0.223	Policy	0.11
"McAllen, TX"	Price Income Ratio	1	Affordability	2.281543634
"McAllen, TX"	Cost Burdened Renters	0.081	Affordability	0.576271991
"McAllen, TX"	Vacancy Rate	0.363	Affordability	0.069602104
"McAllen, TX"	Job Growth	1	Job Availability	0.579644895
"McAllen, TX"	Working Age Emp-Pop	0.04	Job Availability	0.695929787
"McAllen, TX"	Start-Ups	0.939	Job Availability	0.241719198
"McAllen, TX"	Quality of Life	0	Livability	-0.079
"McAllen, TX"	Household Purchasing Power	0	Livability	40750.58548
"McAllen, TX"	Housing Unit Growth	0.888	Policy	0.355765138
"McAllen, TX"	Housing Cost Differential	1	Policy	-0.57
"Memphis, TN-MS-AR"	Price Income Ratio	0.687	Affordability	2.898961696
"Memphis, TN-MS-AR"	Cost Burdened Renters	0.132	Affordability	0.560254996
"Memphis, TN-MS-AR"	Vacancy Rate	0.969	Affordability	0.119300702
"Memphis, TN-MS-AR"	Job Growth	0.131	Job Availability	-0.00682065
"Memphis, TN-MS-AR"	Working Age Emp-Pop	0.121	Job Availability	0.736426238
"Memphis, TN-MS-AR"	Start-Ups	0.272	Job Availability	0.157161766
"Memphis, TN-MS-AR"	Quality of Life	0.04	Livability	-0.06
"Memphis, TN-MS-AR"	Household Purchasing Power	0.181	Livability	49776.33008
"Memphis, TN-MS-AR"	Housing Unit Growth	0.454	Policy	0.165143165
"Memphis, TN-MS-AR"	Housing Cost Differential	0.788	Policy	-0.178
"Miami, FL"	Price Income Ratio	0.162	Affordability	4.333649759
"Miami, FL"	Cost Burdened Renters	0	Affordability	0.634237478
"Miami, FL"	Vacancy Rate	0.535	Affordability	0.083590386
"Miami, FL"	Job Growth	0.707	Job Availability	0.154696516
"Miami, FL"	Working Age Emp-Pop	0.505	Job Availability	0.769815686
"Miami, FL"	Start-Ups	0.989	Job Availability	0.272136028
"Miami, FL"	Quality of Life	0.838	Livability	0.041
"Miami, FL"	Household Purchasing Power	0.05	Livability	46062.73764
"Miami, FL"	Housing Unit Growth	0.434	Policy	0.161329532
"Miami, FL"	Housing Cost Differential	0.213	Policy	0.126
"Milwaukee, WI"	Price Income Ratio	0.354	Affordability	3.581370852
"Milwaukee, WI"	Cost Burdened Renters	0.334	Affordability	0.523950042
"Milwaukee, WI"	Vacancy Rate	0.212	Affordability	0.060479202
"Milwaukee, WI"	Job Growth	0.07	Job Availability	-0.026917977
"Milwaukee, WI"	Working Age Emp-Pop	0.898	Job Availability	0.804455045
"Milwaukee, WI"	Start-Ups	0.121	Job Availability	0.145314288
"Milwaukee, WI"	Quality of Life	0.535	Livability	-0.009
"Milwaukee, WI"	Household Purchasing Power	0.515	Livability	55844.53782
"Milwaukee, WI"	Housing Unit Growth	0.222	Policy	0.086868615
"Milwaukee, WI"	Housing Cost Differential	0.344	Policy	0.032
"Minneapolis, MN-WI"	Price Income Ratio	0.576	Affordability	3.131194745
"Minneapolis, MN-WI"	Cost Burdened Renters	0.738	Affordability	0.488778643
"Minneapolis, MN-WI"	Vacancy Rate	0.06	Affordability	0.043435795
"Minneapolis, MN-WI"	Job Growth	0.454	Job Availability	0.073069567
"Minneapolis, MN-WI"	Working Age Emp-Pop	0.989	Job Availability	0.849545928
"Minneapolis, MN-WI"	Start-Ups	0.474	Job Availability	0.172601727
"Minneapolis, MN-WI"	Quality of Life	0.262	Livability	-0.032
"Minneapolis, MN-WI"	Household Purchasing Power	0.939	Livability	67294.06037
"Minneapolis, MN-WI"	Housing Unit Growth	0.505	Policy	0.183660172
"Minneapolis, MN-WI"	Housing Cost Differential	0.364	Policy	0.02
"Nashville, TN"	Price Income Ratio	0.445	Affordability	3.373860182
"Nashville, TN"	Cost Burdened Renters	0.526	Affordability	0.507491315
"Nashville, TN"	Vacancy Rate	0.333	Affordability	0.068370677
"Nashville, TN"	Job Growth	0.848	Job Availability	0.230492589
"Nashville, TN"	Working Age Emp-Pop	0.767	Job Availability	0.792216577
"Nashville, TN"	Start-Ups	0.666	Job Availability	0.1964032
"Nashville, TN"	Quality of Life	0.585	Livability	-0.001
"Nashville, TN"	Household Purchasing Power	0.545	Livability	56119.40299
"Nashville, TN"	Housing Unit Growth	0.777	Policy	0.277788948
"Nashville, TN"	Housing Cost Differential	0.435	Policy	-0.03
"New Haven, CT"	Price Income Ratio	0.203	Affordability	4.01881075
"New Haven, CT"	Cost Burdened Renters	0.091	Affordability	0.573694489
"New Haven, CT"	Vacancy Rate	0.595	Affordability	0.086614391
"New Haven, CT"	Job Growth	0.09	Job Availability	-0.014744077
"New Haven, CT"	Working Age Emp-Pop	0.373	Job Availability	0.761072237
"New Haven, CT"	Start-Ups	0.101	Job Availability	0.142818738
"New Haven, CT"	Quality of Life	0.777	Livability	0.029
"New Haven, CT"	Household Purchasing Power	0.373	Livability	53396.10964
"New Haven, CT"	Housing Unit Growth	0.121	Policy	0.063319559
"New Haven, CT"	Housing Cost Differential	0.091	Policy	0.411
"New Orleans, LA"	Price Income Ratio	0.304	Affordability	3.723495212
"New Orleans, LA"	Cost Burdened Renters	0.162	Affordability	0.554811067
"New Orleans, LA"	Vacancy Rate	0.959	Affordability	0.118645599
"New Orleans, LA"	Job Growth	0.03	Job Availability	-0.101984222
"New Orleans, LA"	Working Age Emp-Pop	0.191	Job Availability	0.743953513
"New Orleans, LA"	Start-Ups	0.363	Job Availability	0.162969361
"New Orleans, LA"	Quality of Life	0.626	Livability	0.005
"New Orleans, LA"	Household Purchasing Power	0.111	Livability	48632.01663
"New Orleans, LA"	Housing Unit Growth	0	Policy	-0.005102169
"New Orleans, LA"	Housing Cost Differential	0.576	Policy	-0.097
"New York, NY-NJ-PA"	Price Income Ratio	0.061	Affordability	5.915068738
"New York, NY-NJ-PA"	Cost Burdened Renters	0.213	Affordability	0.547138703
"New York, NY-NJ-PA"	Vacancy Rate	0.292	Affordability	0.06534221
"New York, NY-NJ-PA"	Job Growth	0.444	Job Availability	0.070451224
"New York, NY-NJ-PA"	Working Age Emp-Pop	0.545	Job Availability	0.774405346
"New York, NY-NJ-PA"	Start-Ups	0.858	Job Availability	0.220913224
"New York, NY-NJ-PA"	Quality of Life	0.777	Livability	0.029
"New York, NY-NJ-PA"	Household Purchasing Power	0.444	Livability	54837.28536
"New York, NY-NJ-PA"	Housing Unit Growth	0.171	Policy	0.076634069
"New York, NY-NJ-PA"	Housing Cost Differential	0.091	Policy	0.411
"North Port, FL"	Price Income Ratio	0.384	Affordability	3.519788006
"North Port, FL"	Cost Burdened Renters	0.283	Affordability	0.534147413
"North Port, FL"	Vacancy Rate	0.393	Affordability	0.074160246
"North Port, FL"	Job Growth	0.787	Job Availability	0.177840088
"North Port, FL"	Working Age Emp-Pop	0.474	Job Availability	0.766869508
"North Port, FL"	Start-Ups	0.919	Job Availability	0.230306558
"North Port, FL"	Quality of Life	0.929	Livability	0.066
"North Port, FL"	Household Purchasing Power	0.323	Livability	52709.51417
"North Port, FL"	Housing Unit Growth	0.787	Policy	0.278968792
"North Port, FL"	Housing Cost Differential	0.233	Policy	0.094
"Ogden, UT"	Price Income Ratio	0.526	Affordability	3.205237866
"Ogden, UT"	Cost Burdened Renters	0.98	Affordability	0.439792316
"Ogden, UT"	Vacancy Rate	0.131	Affordability	0.049249063
"Ogden, UT"	Job Growth	0.868	Job Availability	0.243795848
"Ogden, UT"	Working Age Emp-Pop	0.616	Job Availability	0.778975488
"Ogden, UT"	Start-Ups	0.717	Job Availability	0.202426343
"Ogden, UT"	Quality of Life	0.747	Livability	0.026
"Ogden, UT"	Household Purchasing Power	0.929	Livability	67050.05214
"Ogden, UT"	Housing Unit Growth	0.848	Policy	0.318967285
"Ogden, UT"	Housing Cost Differential	0.324	Policy	0.038
"Oklahoma City, OK"	Price Income Ratio	0.839	Affordability	2.655677656
"Oklahoma City, OK"	Cost Burdened Renters	0.93	Affordability	0.461932792
"Oklahoma City, OK"	Vacancy Rate	0.717	Affordability	0.095850795
"Oklahoma City, OK"	Job Growth	0.717	Job Availability	0.156940541
"Oklahoma City, OK"	Working Age Emp-Pop	0.484	Job Availability	0.768560546
"Oklahoma City, OK"	Start-Ups	0.606	Job Availability	0.186370676
"Oklahoma City, OK"	Quality of Life	0.424	Livability	-0.02
"Oklahoma City, OK"	Household Purchasing Power	0.575	Livability	56665.94595
"Oklahoma City, OK"	Housing Unit Growth	0.484	Policy	0.180739021
"Oklahoma City, OK"	Housing Cost Differential	0.97	Policy	-0.278
"Omaha, NE-IA"	Price Income Ratio	0.93	Affordability	2.560536791
"Omaha, NE-IA"	Cost Burdened Renters	0.97	Affordability	0.445065956
"Omaha, NE-IA"	Vacancy Rate	0.313	Affordability	0.066534666
"Omaha, NE-IA"	Job Growth	0.545	Job Availability	0.106455241
"Omaha, NE-IA"	Working Age Emp-Pop	0.969	Job Availability	0.83417811
"Omaha, NE-IA"	Start-Ups	0.404	Job Availability	0.167471222
"Omaha, NE-IA"	Quality of Life	0.434	Livability	-0.019
"Omaha, NE-IA"	Household Purchasing Power	0.767	Livability	61004.24178
"Omaha, NE-IA"	Housing Unit Growth	0.585	Policy	0.201261475
"Omaha, NE-IA"	Housing Cost Differential	0.829	Policy	-0.195
"Orlando, FL"	Price Income Ratio	0.455	Affordability	3.370623576
"Orlando, FL"	Cost Burdened Renters	0.112	Affordability	0.571644589
"Orlando, FL"	Vacancy Rate	0.767	Affordability	0.099349129
"Orlando, FL"	Job Growth	0.898	Job Availability	0.275590812
"Orlando, FL"	Working Age Emp-Pop	0.464	Job Availability	0.766761237
"Orlando, FL"	Start-Ups	0.949	Job Availability	0.254134551
"Orlando, FL"	Quality of Life	0.646	Livability	0.006
"Orlando, FL"	Household Purchasing Power	0.151	Livability	49305.41369
"Orlando, FL"	Housing Unit Growth	0.949	Policy	0.425927253
"Orlando, FL"	Housing Cost Differential	0.495	Policy	-0.046
"Oxnard, CA"	Price Income Ratio	0.051	Affordability	6.403000702
"Oxnard, CA"	Cost Burdened Renters	0.071	Affordability	0.576838553
"Oxnard, CA"	Vacancy Rate	0.01	Affordability	0.032938878
"Oxnard, CA"	Job Growth	0.464	Job Availability	0.079743488
"Oxnard, CA"	Working Age Emp-Pop	0.454	Job Availability	0.766426944
"Oxnard, CA"	Start-Ups	0.585	Job Availability	0.185013752
"Oxnard, CA"	Quality of Life	0.939	Livability	0.081
"Oxnard, CA"	Household Purchasing Power	0.909	Livability	65951.92308
"Oxnard, CA"	Housing Unit Growth	0.353	Policy	0.130367245
"Oxnard, CA"	Housing Cost Differential	0.061	Policy	0.45
"Palm Bay, FL"	Price Income Ratio	0.596	Affordability	3.118542175
"Palm Bay, FL"	Cost Burdened Renters	0.223	Affordability	0.542921327
"Palm Bay, FL"	Vacancy Rate	0.656	Affordability	0.091092723
"Palm Bay, FL"	Job Growth	0.323	Job Availability	0.053064197
"Palm Bay, FL"	Working Age Emp-Pop	0.08	Job Availability	0.724400208
"Palm Bay, FL"	Start-Ups	0.767	Job Availability	0.209290402
"Palm Bay, FL"	Quality of Life	0.595	Livability	0
"Palm Bay, FL"	Household Purchasing Power	0.191	Livability	50375.39432
"Palm Bay, FL"	Housing Unit Growth	0.676	Policy	0.226102345
"Palm Bay, FL"	Housing Cost Differential	0.778	Policy	-0.171
"Philadelphia, PA-NJ-DE-MD"	Price Income Ratio	0.293	Affordability	3.770246578
"Philadelphia, PA-NJ-DE-MD"	Cost Burdened Renters	0.233	Affordability	0.542739891
"Philadelphia, PA-NJ-DE-MD"	Vacancy Rate	0.545	Affordability	0.084276956
"Philadelphia, PA-NJ-DE-MD"	Job Growth	0.252	Job Availability	0.026334291
"Philadelphia, PA-NJ-DE-MD"	Working Age Emp-Pop	0.494	Job Availability	0.768750089
"Philadelphia, PA-NJ-DE-MD"	Start-Ups	0.494	Job Availability	0.173722529
"Philadelphia, PA-NJ-DE-MD"	Quality of Life	0.181	Livability	-0.04
"Philadelphia, PA-NJ-DE-MD"	Household Purchasing Power	0.616	Livability	57619.09175
"Philadelphia, PA-NJ-DE-MD"	Housing Unit Growth	0.131	Policy	0.073257152
"Philadelphia, PA-NJ-DE-MD"	Housing Cost Differential	0.283	Policy	0.052
"Phoenix, AZ"	Price Income Ratio	0.314	Affordability	3.708423124
"Phoenix, AZ"	Cost Burdened Renters	0.657	Affordability	0.494717879
"Phoenix, AZ"	Vacancy Rate	0.474	Affordability	0.080936758
"Phoenix, AZ"	Job Growth	0.828	Job Availability	0.207334229
"Phoenix, AZ"	Working Age Emp-Pop	0.212	Job Availability	0.746371885
"Phoenix, AZ"	Start-Ups	0.888	Job Availability	0.228759504
"Phoenix, AZ"	Quality of Life	0.686	Livability	0.012
"Phoenix, AZ"	Household Purchasing Power	0.393	Livability	54122.71805
"Phoenix, AZ"	Housing Unit Growth	0.929	Policy	0.386449449
"Phoenix, AZ"	Housing Cost Differential	0.243	Policy	0.075
"Pittsburgh, PA"	Price Income Ratio	0.899	Affordability	2.575870575
"Pittsburgh, PA"	Cost Burdened Renters	0.96	Affordability	0.459215676
"Pittsburgh, PA"	Vacancy Rate	0.696	Affordability	0.094516981
"Pittsburgh, PA"	Job Growth	0.262	Job Availability	0.026665621
"Pittsburgh, PA"	Working Age Emp-Pop	0.707	Job Availability	0.786482382
"Pittsburgh, PA"	Start-Ups	0.03	Job Availability	0.136047186
"Pittsburgh, PA"	Quality of Life	0.09	Livability	-0.047
"Pittsburgh, PA"	Household Purchasing Power	0.454	Livability	55512.73885
"Pittsburgh, PA"	Housing Unit Growth	0.04	Policy	0.025479355
"Pittsburgh, PA"	Housing Cost Differential	0.849	Policy	-0.207
"Portland, OR-WA"	Price Income Ratio	0.142	Affordability	4.599322799
"Portland, OR-WA"	Cost Burdened Renters	0.253	Affordability	0.537784576
"Portland, OR-WA"	Vacancy Rate	0.04	Affordability	0.043037039
"Portland, OR-WA"	Job Growth	0.585	Job Availability	0.131640593
"Portland, OR-WA"	Working Age Emp-Pop	0.606	Job Availability	0.778447479
"Portland, OR-WA"	Start-Ups	0.696	Job Availability	0.200724263
"Portland, OR-WA"	Quality of Life	0.848	Livability	0.047
"Portland, OR-WA"	Household Purchasing Power	0.707	Livability	59829.19563
"Portland, OR-WA"	Housing Unit Growth	0.565	Policy	0.196875364
"Portland, OR-WA"	Housing Cost Differential	0.162	Policy	0.174
"Providence, RI-MA"	Price Income Ratio	0.152	Affordability	4.472025217
"Providence, RI-MA"	Cost Burdened Renters	0.445	Affordability	0.512620271
"Providence, RI-MA"	Vacancy Rate	0.404	Affordability	0.074604238
"Providence, RI-MA"	Job Growth	0.191	Job Availability	0.008899803
"Providence, RI-MA"	Working Age Emp-Pop	0.747	Job Availability	0.789104641
"Providence, RI-MA"	Start-Ups	0.161	Job Availability	0.148297672
"Providence, RI-MA"	Quality of Life	0.696	Livability	0.014
"Providence, RI-MA"	Household Purchasing Power	0.555	Livability	56229.60725
"Providence, RI-MA"	Housing Unit Growth	0.101	Policy	0.056581221
"Providence, RI-MA"	Housing Cost Differential	0.253	Policy	0.073
"Provo, UT"	Price Income Ratio	0.233	Affordability	3.902118574
"Provo, UT"	Cost Burdened Renters	0.788	Affordability	0.484529072
"Provo, UT"	Vacancy Rate	0	Affordability	0.032665233
"Provo, UT"	Job Growth	0.989	Job Availability	0.446868765
"Provo, UT"	Working Age Emp-Pop	0.232	Job Availability	0.748137891
"Provo, UT"	Start-Ups	0.979	Job Availability	0.26439483
"Provo, UT"	Quality of Life	0.717	Livability	0.019
"Provo, UT"	Household Purchasing Power	0.818	Livability	62579.65057
"Provo, UT"	Housing Unit Growth	0.959	Policy	0.505745624
"Provo, UT"	Housing Cost Differential	0.435	Policy	-0.03
"Raleigh, NC"	Price Income Ratio	0.435	Affordability	3.416622535
"Raleigh, NC"	Cost Burdened Renters	0.718	Affordability	0.491241353
"Raleigh, NC"	Vacancy Rate	0.383	Affordability	0.073789824
"Raleigh, NC"	Job Growth	0.929	Job Availability	0.308319108
"Raleigh, NC"	Working Age Emp-Pop	0.939	Job Availability	0.815059
"Raleigh, NC"	Start-Ups	0.787	Job Availability	0.212599156
"Raleigh, NC"	Quality of Life	0.666	Livability	0.011
"Raleigh, NC"	Household Purchasing Power	0.878	Livability	65180.96234
"Raleigh, NC"	Housing Unit Growth	0.969	Policy	0.514474391
"Raleigh, NC"	Housing Cost Differential	0.304	Policy	0.044
"Richmond, VA"	Price Income Ratio	0.394	Affordability	3.510240252
"Richmond, VA"	Cost Burdened Renters	0.596	Affordability	0.501998742
"Richmond, VA"	Vacancy Rate	0.464	Affordability	0.08053589
"Richmond, VA"	Job Growth	0.535	Job Availability	0.097932535
"Richmond, VA"	Working Age Emp-Pop	0.717	Job Availability	0.787292855
"Richmond, VA"	Start-Ups	0.505	Job Availability	0.173797266
"Richmond, VA"	Quality of Life	0.252	Livability	-0.033
"Richmond, VA"	Household Purchasing Power	0.848	Livability	63343.03534
"Richmond, VA"	Housing Unit Growth	0.474	Policy	0.174033731
"Richmond, VA"	Housing Cost Differential	0.586	Policy	-0.098
"Riverside, CA"	Price Income Ratio	0.081	Affordability	4.986626608
"Riverside, CA"	Cost Burdened Renters	0.021	Affordability	0.606321786
"Riverside, CA"	Vacancy Rate	0.323	Affordability	0.067855729
"Riverside, CA"	Job Growth	0.959	Job Availability	0.34013708
"Riverside, CA"	Working Age Emp-Pop	0.02	Job Availability	0.688257191
"Riverside, CA"	Start-Ups	0.868	Job Availability	0.223313252
"Riverside, CA"	Quality of Life	0.939	Livability	0.081
"Riverside, CA"	Household Purchasing Power	0.252	Livability	51496.22642
"Riverside, CA"	Housing Unit Growth	0.808	Policy	0.288633717
"Riverside, CA"	Housing Cost Differential	0.061	Policy	0.45
"Rochester, NY"	Price Income Ratio	0.879	Affordability	2.611282935
"Rochester, NY"	Cost Burdened Renters	0.172	Affordability	0.554038774
"Rochester, NY"	Vacancy Rate	0.343	Affordability	0.06931479
"Rochester, NY"	Job Growth	0.121	Job Availability	-0.009274464
"Rochester, NY"	Working Age Emp-Pop	0.666	Job Availability	0.782688373
"Rochester, NY"	Start-Ups	0.383	Job Availability	0.164988558
"Rochester, NY"	Quality of Life	0.141	Livability	-0.041
"Rochester, NY"	Household Purchasing Power	0.313	Livability	52557.61317
"Rochester, NY"	Housing Unit Growth	0.191	Policy	0.078449854
"Rochester, NY"	Housing Cost Differential	0.728	Policy	-0.136
"Sacramento, CA"	Price Income Ratio	0.071	Affordability	5.238690327
"Sacramento, CA"	Cost Burdened Renters	0.182	Affordability	0.550802396
"Sacramento, CA"	Vacancy Rate	0.202	Affordability	0.05936684
"Sacramento, CA"	Job Growth	0.606	Job Availability	0.13646257
"Sacramento, CA"	Working Age Emp-Pop	0.161	Job Availability	0.740477239
"Sacramento, CA"	Start-Ups	0.707	Job Availability	0.201633439
"Sacramento, CA"	Quality of Life	0.808	Livability	0.033
"Sacramento, CA"	Household Purchasing Power	0.646	Livability	58494.15205
"Sacramento, CA"	Housing Unit Growth	0.686	Policy	0.237779745
"Sacramento, CA"	Housing Cost Differential	0.152	Policy	0.206
"St. Louis, MO-IL"	Price Income Ratio	0.768	Affordability	2.810840011
"St. Louis, MO-IL"	Cost Burdened Renters	0.728	Affordability	0.490756596
"St. Louis, MO-IL"	Vacancy Rate	0.808	Affordability	0.102730195
"St. Louis, MO-IL"	Job Growth	0.161	Job Availability	-0.000113022
"St. Louis, MO-IL"	Working Age Emp-Pop	0.646	Job Availability	0.780625892
"St. Louis, MO-IL"	Start-Ups	0.595	Job Availability	0.185178463
"St. Louis, MO-IL"	Quality of Life	0.242	Livability	-0.034
"St. Louis, MO-IL"	Household Purchasing Power	0.787	Livability	61911.92865
"St. Louis, MO-IL"	Housing Unit Growth	0.262	Policy	0.100893462
"St. Louis, MO-IL"	Housing Cost Differential	0.596	Policy	-0.104
"Salt Lake City, UT"	Price Income Ratio	0.263	Affordability	3.797771463
